plot_id,plot_name,plot_gradient,farmer_kn_soil,soil_texture,latitude,longitude,altitude,accuracy,farmer_id,farmer_name,community_id,community_label,country_id,country_label
1,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,1,Farmer 1,1,Community 1,BF,Burkina Faso
2,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,1,Farmer 1,1,Community 1,BF,Burkina Faso
3,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,2,Farmer 2,1,Community 1,BF,Burkina Faso
4,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,2,Farmer 2,1,Community 1,BF,Burkina Faso
5,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,3,Farmer 3 ,1,Community 1,BF,Burkina Faso
6,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,3,Farmer 3 ,1,Community 1,BF,Burkina Faso
7,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,4,Farmer 4,1,Community 1,BF,Burkina Faso
8,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,4,Farmer 4,1,Community 1,BF,Burkina Faso
9,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,5,Farmer 1,2,Community 2,BF,Burkina Faso
10,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,5,Farmer 1,2,Community 2,BF,Burkina Faso
11,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,6,Farmer 2,2,Community 2,BF,Burkina Faso
12,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,6,Farmer 2,2,Community 2,BF,Burkina Faso
13,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,7,Farmer 3 ,2,Community 2,BF,Burkina Faso
14,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,7,Farmer 3 ,2,Community 2,BF,Burkina Faso
16,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,8,Farmer 4,2,Community 2,BF,Burkina Faso
15,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,8,Farmer 4,2,Community 2,BF,Burkina Faso
18,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,9,Farmer 1,3,Community 3,BF,Burkina Faso
17,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,9,Farmer 1,3,Community 3,BF,Burkina Faso
20,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,10,Farmer 2,3,Community 3,BF,Burkina Faso
19,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,10,Farmer 2,3,Community 3,BF,Burkina Faso
22,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,11,Farmer 3 ,3,Community 3,BF,Burkina Faso
21,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,11,Farmer 3 ,3,Community 3,BF,Burkina Faso
24,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,12,Farmer 4,3,Community 3,BF,Burkina Faso
23,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,12,Farmer 4,3,Community 3,BF,Burkina Faso
26,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,13,Farmer 1,4,Community 4,BF,Burkina Faso
25,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,13,Farmer 1,4,Community 4,BF,Burkina Faso
28,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,14,Farmer 2,4,Community 4,BF,Burkina Faso
27,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,14,Farmer 2,4,Community 4,BF,Burkina Faso
30,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,15,Farmer 3 ,4,Community 4,BF,Burkina Faso
29,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,15,Farmer 3 ,4,Community 4,BF,Burkina Faso
32,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,16,Farmer 4,4,Community 4,BF,Burkina Faso
31,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,16,Farmer 4,4,Community 4,BF,Burkina Faso
34,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,17,Farmer 1,5,Community 1,BO,Bolivia
33,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,17,Farmer 1,5,Community 1,BO,Bolivia
36,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,18,Farmer 2,5,Community 1,BO,Bolivia
35,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,18,Farmer 2,5,Community 1,BO,Bolivia
38,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,19,Farmer 3 ,5,Community 1,BO,Bolivia
37,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,19,Farmer 3 ,5,Community 1,BO,Bolivia
40,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,20,Farmer 4,5,Community 1,BO,Bolivia
39,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,20,Farmer 4,5,Community 1,BO,Bolivia
42,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,21,Farmer 1,6,Community 2,BO,Bolivia
41,Roadside,flat,NULL,NULL,NULL,NULL,NULL,NULL,21,Farmer 1,6,Community 2,BO,Bolivia
44,South Field,gentle_slope,NULL,NULL,NULL,NULL,NULL,NULL,22,Farmer 2,6,Community 2,BO,Bolivia
